銘柄コード,銘柄名,株価,取得時間
9983,ファーストリテイリング,56680.0,2025-11-28 01:54:39
8035,東京エレクトロン,31590.0,2025-11-28 01:54:40
6857,アドバンテスト,20345.0,2025-11-28 01:54:40
6920,レーザーテック,27765.0,2025-11-28 01:54:41
9984,ソフトバンクグループ,16935.0,2025-11-28 01:54:41
6861,キーエンス,52780.0,2025-11-28 01:54:41
7735,SCREENホールディングス,12760.0,2025-11-28 01:54:42
6367,ダイキン工業,20205.0,2025-11-28 01:54:43
7974,任天堂,13335.0,2025-11-28 01:54:43
6954,ファナック,4982.0,2025-11-28 01:54:44
6501,日立製作所,4945.0,2025-11-28 01:54:44
6723,ルネサスエレクトロニクス,1826.5,2025-11-28 01:54:45
7751,キヤノン,4578.0,2025-11-28 01:54:45
6976,太陽誘電,3267.0,2025-11-28 01:54:45
7203,トヨタ自動車,3133.0,2025-11-28 01:54:46
8031,三井物産,4088.0,2025-11-28 01:54:46
8058,三菱商事,3662.0,2025-11-28 01:54:47
8306,三菱UFJフィナンシャル・グループ,2415.0,2025-11-28 01:54:47
8316,三井住友フィナンシャルグループ,4686.0,2025-11-28 01:54:47
8411,みずほフィナンシャルグループ,5468.0,2025-11-28 01:54:48
8591,オリックス,4194.0,2025-11-28 01:54:48
9101,日本郵船,4971.0,2025-11-28 01:54:49
9104,商船三井,4407.0,2025-11-28 01:54:49
9107,川崎汽船,2083.0,2025-11-28 01:54:50
4063,信越化学工業,4650.0,2025-11-28 01:54:50
4502,武田薬品工業,4489.0,2025-11-28 01:54:51
6762,TDK,2553.0,2025-11-28 01:54:51
2914,日本たばこ産業,5932.0,2025-11-28 01:54:51
7201,日産自動車,385.3999938964844,2025-11-28 01:54:52
7267,ホンダ,1570.0,2025-11-28 01:54:52
8105,Bitcoin Japan,393.0,2025-11-28 01:54:53
5016,JX金属,1668.5,2025-11-28 01:54:53
3656,KLab,257.0,2025-11-28 01:54:53
4565,そーせいグループ,871.0,2025-11-28 01:54:54
4582,シンバイオ製薬,107.0,2025-11-28 01:54:54
4592,サンバイオ,2208.0,2025-11-28 01:54:54
4477,BASE,332.0,2025-11-28 01:54:55
4599,ステムリム,282.0,2025-11-28 01:54:55
4167,ココペリ,316.0,2025-11-28 01:54:55
4385,メルカリ,2651.0,2025-11-28 01:54:56
4478,フリー,3055.0,2025-11-28 01:54:56
3903,gumi,420.0,2025-11-28 01:54:56
3911,Aiming,243.0,2025-11-28 01:54:57
3697,SHIFT,979.7999877929688,2025-11-28 01:54:57
3624,アクセルマーク,94.0,2025-11-28 01:54:58
7779,サイバーダイン,173.0,2025-11-28 01:54:58
3853,アステリア,1128.0,2025-11-28 01:54:58
3936,グローバルウェイ,142.0,2025-11-28 01:54:59
7359,東京通信,322.0,2025-11-28 01:54:59
4880,セルソース,522.0,2025-11-28 01:54:59
7138,TORICO,170.0,2025-11-28 01:55:00
5250,プライム・ストラテジー,1544.0,2025-11-28 01:55:00
7711,助川電気工業,7650.0,2025-11-28 01:55:01
4424,Amazia,555.0,2025-11-28 01:55:01
6731,ピクセラ,42.0,2025-11-28 01:55:01
7806,MTG,4550.0,2025-11-28 01:55:02
4234,サンエー化研,811.0,2025-11-28 01:55:02
4570,免疫生物研究所,3120.0,2025-11-28 01:55:02
4720,城南進学研究社,289.0,2025-11-28 01:55:03
4446,リンクユーグループ,1307.0,2025-11-28 01:55:03
