銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56500.0,2025-12-03 15:21:28
8035,東京エレクトロン,32920.0,2025-12-03 15:21:28
6857,アドバンテスト,20990.0,2025-12-03 15:21:29
6920,レーザーテック,30220.0,2025-12-03 15:21:29
9984,ソフトバンクグループ,16780.0,2025-12-03 15:21:30
6861,キーエンス,52360.0,2025-12-03 15:21:30
7735,SCREENホールディングス,14035.0,2025-12-03 15:21:30
6367,ダイキン工業,19725.0,2025-12-03 15:21:31
7974,任天堂,12735.0,2025-12-03 15:21:31
6954,ファナック,5256.0,2025-12-03 15:21:32
6501,日立製作所,4903.0,2025-12-03 15:21:32
6723,ルネサスエレクトロニクス,1928.0,2025-12-03 15:21:33
7751,キヤノン,4601.0,2025-12-03 15:21:33
6976,太陽誘電,3693.0,2025-12-03 15:21:34
7203,トヨタ自動車,3006.0,2025-12-03 15:21:34
8031,三井物産,4111.0,2025-12-03 15:21:34
8058,三菱商事,3688.0,2025-12-03 15:21:35
8306,三菱UFJフィナンシャル・グループ,2471.5,2025-12-03 15:21:35
8316,三井住友フィナンシャルグループ,4822.0,2025-12-03 15:21:36
8411,みずほフィナンシャルグループ,5568.0,2025-12-03 15:21:36
8591,オリックス,4245.0,2025-12-03 15:21:37
9101,日本郵船,4847.0,2025-12-03 15:21:37
9104,商船三井,4386.0,2025-12-03 15:21:38
9107,川崎汽船,2062.5,2025-12-03 15:21:38
4063,信越化学工業,4674.0,2025-12-03 15:21:38
4502,武田薬品工業,4453.0,2025-12-03 15:21:39
6762,TDK,2416.5,2025-12-03 15:21:39
2914,日本たばこ産業,5823.0,2025-12-03 15:21:40
7201,日産自動車,363.6000061035156,2025-12-03 15:21:40
7267,ホンダ,1506.0,2025-12-03 15:21:41
8105,Bitcoin Japan,315.0,2025-12-03 15:21:41
5016,JX金属,1664.0,2025-12-03 15:21:41
3656,KLab,247.0,2025-12-03 15:21:42
4565,そーせいグループ,816.0,2025-12-03 15:21:42
4582,シンバイオ製薬,101.0,2025-12-03 15:21:43
4592,サンバイオ,1562.0,2025-12-03 15:21:43
4477,BASE,319.0,2025-12-03 15:21:43
4599,ステムリム,254.0,2025-12-03 15:21:44
4167,ココペリ,311.0,2025-12-03 15:21:44
4385,メルカリ,2718.5,2025-12-03 15:21:44
4478,フリー,2975.0,2025-12-03 15:21:45
3903,gumi,381.0,2025-12-03 15:21:45
3911,Aiming,225.0,2025-12-03 15:21:46
3697,SHIFT,932.2000122070312,2025-12-03 15:21:46
3624,アクセルマーク,89.0,2025-12-03 15:21:46
7779,サイバーダイン,180.0,2025-12-03 15:21:47
3853,アステリア,1093.0,2025-12-03 15:21:47
3936,グローバルウェイ,132.0,2025-12-03 15:21:48
7359,東京通信,305.0,2025-12-03 15:21:48
4880,セルソース,484.0,2025-12-03 15:21:48
7138,TORICO,152.0,2025-12-03 15:21:49
5250,プライム・ストラテジー,1510.0,2025-12-03 15:21:49
7711,助川電気工業,6990.0,2025-12-03 15:21:50
4424,Amazia,324.0,2025-12-03 15:21:50
6731,ピクセラ,40.0,2025-12-03 15:21:50
7806,MTG,4690.0,2025-12-03 15:21:51
4234,サンエー化研,890.0,2025-12-03 15:21:51
4720,城南進学研究社,276.0,2025-12-03 15:21:52
4446,リンクユーグループ,1267.0,2025-12-03 15:21:52
