銘柄コード,銘柄名,株価,取得時間
9983,ファーストリテイリング,56890.0,2025-11-28 05:42:16
8035,東京エレクトロン,31700.0,2025-11-28 05:42:17
6857,アドバンテスト,20510.0,2025-11-28 05:42:18
6920,レーザーテック,27860.0,2025-11-28 05:42:18
9984,ソフトバンクグループ,16790.0,2025-11-28 05:42:19
6861,キーエンス,52930.0,2025-11-28 05:42:19
7735,SCREENホールディングス,12730.0,2025-11-28 05:42:20
6367,ダイキン工業,20320.0,2025-11-28 05:42:20
7974,任天堂,13255.0,2025-11-28 05:42:21
6954,ファナック,5013.0,2025-11-28 05:42:21
6501,日立製作所,4978.0,2025-11-28 05:42:22
6723,ルネサスエレクトロニクス,1831.5,2025-11-28 05:42:22
7751,キヤノン,4600.0,2025-11-28 05:42:23
6976,太陽誘電,3267.0,2025-11-28 05:42:24
7203,トヨタ自動車,3134.0,2025-11-28 05:42:24
8031,三井物産,4136.0,2025-11-28 05:42:25
8058,三菱商事,3699.0,2025-11-28 05:42:25
8306,三菱UFJフィナンシャル・グループ,2427.5,2025-11-28 05:42:26
8316,三井住友フィナンシャルグループ,4708.0,2025-11-28 05:42:26
8411,みずほフィナンシャルグループ,5482.0,2025-11-28 05:42:27
8591,オリックス,4232.0,2025-11-28 05:42:27
9101,日本郵船,4970.0,2025-11-28 05:42:28
9104,商船三井,4430.0,2025-11-28 05:42:28
9107,川崎汽船,2086.5,2025-11-28 05:42:29
4063,信越化学工業,4680.0,2025-11-28 05:42:29
4502,武田薬品工業,4492.0,2025-11-28 05:42:30
6762,TDK,2573.5,2025-11-28 05:42:30
2914,日本たばこ産業,5895.0,2025-11-28 05:42:31
7201,日産自動車,385.0,2025-11-28 05:42:31
7267,ホンダ,1569.5,2025-11-28 05:42:32
8105,Bitcoin Japan,390.0,2025-11-28 05:42:33
5016,JX金属,1675.5,2025-11-28 05:42:33
3656,KLab,250.0,2025-11-28 05:42:33
4565,そーせいグループ,878.0,2025-11-28 05:42:34
4582,シンバイオ製薬,105.0,2025-11-28 05:42:34
4592,サンバイオ,2194.0,2025-11-28 05:42:35
4477,BASE,332.0,2025-11-28 05:42:35
4599,ステムリム,280.0,2025-11-28 05:42:36
4167,ココペリ,315.0,2025-11-28 05:42:36
4385,メルカリ,2651.0,2025-11-28 05:42:37
4478,フリー,3030.0,2025-11-28 05:42:37
3903,gumi,418.0,2025-11-28 05:42:37
3911,Aiming,244.0,2025-11-28 05:42:38
3697,SHIFT,972.0,2025-11-28 05:42:38
3624,アクセルマーク,92.0,2025-11-28 05:42:39
7779,サイバーダイン,172.0,2025-11-28 05:42:39
3853,アステリア,1128.0,2025-11-28 05:42:40
3936,グローバルウェイ,142.0,2025-11-28 05:42:41
7359,東京通信,319.0,2025-11-28 05:42:41
4880,セルソース,519.0,2025-11-28 05:42:41
7138,TORICO,182.0,2025-11-28 05:42:42
5250,プライム・ストラテジー,1540.0,2025-11-28 05:42:42
7711,助川電気工業,7390.0,2025-11-28 05:42:43
4424,Amazia,555.0,2025-11-28 05:42:43
6731,ピクセラ,43.0,2025-11-28 05:42:44
7806,MTG,4510.0,2025-11-28 05:42:44
4234,サンエー化研,783.0,2025-11-28 05:42:45
4570,免疫生物研究所,3120.0,2025-11-28 05:42:45
4720,城南進学研究社,295.0,2025-11-28 05:42:46
4446,リンクユーグループ,1297.0,2025-11-28 05:42:46
