銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57020.0,2025-12-02 15:53:19
8035,東京エレクトロン,31240.0,2025-12-02 15:53:20
6857,アドバンテスト,19790.0,2025-12-02 15:53:20
6920,レーザーテック,28325.0,2025-12-02 15:53:21
9984,ソフトバンクグループ,15650.0,2025-12-02 15:53:21
6861,キーエンス,52270.0,2025-12-02 15:53:21
7735,SCREENホールディングス,13125.0,2025-12-02 15:53:22
6367,ダイキン工業,19825.0,2025-12-02 15:53:22
7974,任天堂,12900.0,2025-12-02 15:53:23
6954,ファナック,5373.0,2025-12-02 15:53:23
6501,日立製作所,4880.0,2025-12-02 15:53:24
6723,ルネサスエレクトロニクス,1808.5,2025-12-02 15:53:24
7751,キヤノン,4584.0,2025-12-02 15:53:24
6976,太陽誘電,3474.0,2025-12-02 15:53:25
7203,トヨタ自動車,3048.0,2025-12-02 15:53:25
8031,三井物産,4109.0,2025-12-02 15:53:26
8058,三菱商事,3682.0,2025-12-02 15:53:26
8306,三菱UFJフィナンシャル・グループ,2515.5,2025-12-02 15:53:27
8316,三井住友フィナンシャルグループ,4908.0,2025-12-02 15:53:27
8411,みずほフィナンシャルグループ,5619.0,2025-12-02 15:53:27
8591,オリックス,4271.0,2025-12-02 15:53:28
9101,日本郵船,4915.0,2025-12-02 15:53:28
9104,商船三井,4426.0,2025-12-02 15:53:29
9107,川崎汽船,2068.5,2025-12-02 15:53:29
4063,信越化学工業,4712.0,2025-12-02 15:53:30
4502,武田薬品工業,4466.0,2025-12-02 15:53:30
6762,TDK,2490.5,2025-12-02 15:53:30
2914,日本たばこ産業,5918.0,2025-12-02 15:53:31
7201,日産自動車,370.3999938964844,2025-12-02 15:53:31
7267,ホンダ,1518.5,2025-12-02 15:53:32
8105,Bitcoin Japan,346.0,2025-12-02 15:53:32
5016,JX金属,1667.0,2025-12-02 15:53:33
3656,KLab,244.0,2025-12-02 15:53:33
4565,そーせいグループ,829.0,2025-12-02 15:53:33
4582,シンバイオ製薬,101.0,2025-12-02 15:53:34
4592,サンバイオ,1751.0,2025-12-02 15:53:34
4477,BASE,314.0,2025-12-02 15:53:35
4599,ステムリム,266.0,2025-12-02 15:53:35
4167,ココペリ,310.0,2025-12-02 15:53:35
4385,メルカリ,2712.0,2025-12-02 15:53:36
4478,フリー,2997.0,2025-12-02 15:53:36
3903,gumi,385.0,2025-12-02 15:53:37
3911,Aiming,229.0,2025-12-02 15:53:37
3697,SHIFT,937.2000122070312,2025-12-02 15:53:37
3624,アクセルマーク,89.0,2025-12-02 15:53:38
7779,サイバーダイン,169.0,2025-12-02 15:53:38
3853,アステリア,1077.0,2025-12-02 15:53:39
3936,グローバルウェイ,132.0,2025-12-02 15:53:39
7359,東京通信,310.0,2025-12-02 15:53:39
4880,セルソース,488.0,2025-12-02 15:53:40
7138,TORICO,153.0,2025-12-02 15:53:40
5250,プライム・ストラテジー,1505.0,2025-12-02 15:53:40
7711,助川電気工業,6780.0,2025-12-02 15:53:41
4424,Amazia,339.0,2025-12-02 15:53:41
6731,ピクセラ,40.0,2025-12-02 15:53:42
7806,MTG,4435.0,2025-12-02 15:53:42
4234,サンエー化研,951.0,2025-12-02 15:53:43
4720,城南進学研究社,270.0,2025-12-02 15:53:43
4446,リンクユーグループ,1150.0,2025-12-02 15:53:44
