銘柄コード,銘柄名,株価,取得時間
9983,ファーストリテイリング,56800.0,2025-11-28 02:55:31
8035,東京エレクトロン,31650.0,2025-11-28 02:55:31
6857,アドバンテスト,20455.0,2025-11-28 02:55:32
6920,レーザーテック,27840.0,2025-11-28 02:55:32
9984,ソフトバンクグループ,16950.0,2025-11-28 02:55:32
6861,キーエンス,52900.0,2025-11-28 02:55:33
7735,SCREENホールディングス,12755.0,2025-11-28 02:55:33
6367,ダイキン工業,20320.0,2025-11-28 02:55:34
7974,任天堂,13380.0,2025-11-28 02:55:34
6954,ファナック,4994.0,2025-11-28 02:55:35
6501,日立製作所,4966.0,2025-11-28 02:55:35
6723,ルネサスエレクトロニクス,1828.5,2025-11-28 02:55:36
7751,キヤノン,4591.0,2025-11-28 02:55:36
6976,太陽誘電,3265.0,2025-11-28 02:55:37
7203,トヨタ自動車,3135.0,2025-11-28 02:55:37
8031,三井物産,4102.0,2025-11-28 02:55:38
8058,三菱商事,3670.0,2025-11-28 02:55:39
8306,三菱UFJフィナンシャル・グループ,2417.0,2025-11-28 02:55:39
8316,三井住友フィナンシャルグループ,4698.0,2025-11-28 02:55:39
8411,みずほフィナンシャルグループ,5484.0,2025-11-28 02:55:40
8591,オリックス,4198.0,2025-11-28 02:55:41
9101,日本郵船,4969.0,2025-11-28 02:55:41
9104,商船三井,4416.0,2025-11-28 02:55:42
9107,川崎汽船,2084.5,2025-11-28 02:55:42
4063,信越化学工業,4670.0,2025-11-28 02:55:43
4502,武田薬品工業,4492.0,2025-11-28 02:55:43
6762,TDK,2554.5,2025-11-28 02:55:44
2914,日本たばこ産業,5930.0,2025-11-28 02:55:45
7201,日産自動車,383.70001220703125,2025-11-28 02:55:45
7267,ホンダ,1568.5,2025-11-28 02:55:46
8105,Bitcoin Japan,390.0,2025-11-28 02:55:46
5016,JX金属,1676.0,2025-11-28 02:55:47
3656,KLab,258.0,2025-11-28 02:55:47
4565,そーせいグループ,880.0,2025-11-28 02:55:48
4582,シンバイオ製薬,105.0,2025-11-28 02:55:48
4592,サンバイオ,2205.0,2025-11-28 02:55:48
4477,BASE,333.0,2025-11-28 02:55:49
4599,ステムリム,280.0,2025-11-28 02:55:49
4167,ココペリ,316.0,2025-11-28 02:55:50
4385,メルカリ,2649.0,2025-11-28 02:55:50
4478,フリー,3070.0,2025-11-28 02:55:50
3903,gumi,415.0,2025-11-28 02:55:51
3911,Aiming,244.0,2025-11-28 02:55:51
3697,SHIFT,980.4000244140625,2025-11-28 02:55:52
3624,アクセルマーク,92.0,2025-11-28 02:55:53
7779,サイバーダイン,171.0,2025-11-28 02:55:53
3853,アステリア,1128.0,2025-11-28 02:55:54
3936,グローバルウェイ,142.0,2025-11-28 02:55:54
7359,東京通信,320.0,2025-11-28 02:55:55
4880,セルソース,521.0,2025-11-28 02:55:55
7138,TORICO,170.0,2025-11-28 02:55:56
5250,プライム・ストラテジー,1543.0,2025-11-28 02:55:56
7711,助川電気工業,7560.0,2025-11-28 02:55:57
4424,Amazia,555.0,2025-11-28 02:55:57
6731,ピクセラ,42.0,2025-11-28 02:55:58
7806,MTG,4555.0,2025-11-28 02:55:59
4234,サンエー化研,809.0,2025-11-28 02:55:59
4570,免疫生物研究所,3120.0,2025-11-28 02:56:00
4720,城南進学研究社,290.0,2025-11-28 02:56:00
4446,リンクユーグループ,1254.0,2025-11-28 02:56:01
