銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,55860.0,2025-12-01 13:36:21
8035,東京エレクトロン,31730.0,2025-12-01 13:36:22
6857,アドバンテスト,19695.0,2025-12-01 13:36:22
6920,レーザーテック,27895.0,2025-12-01 13:36:23
9984,ソフトバンクグループ,16640.0,2025-12-01 13:36:23
6861,キーエンス,52610.0,2025-12-01 13:36:23
7735,SCREENホールディングス,12905.0,2025-12-01 13:36:24
6367,ダイキン工業,19895.0,2025-12-01 13:36:24
7974,任天堂,13045.0,2025-12-01 13:36:25
6954,ファナック,5023.0,2025-12-01 13:36:25
6501,日立製作所,4848.0,2025-12-01 13:36:26
6723,ルネサスエレクトロニクス,1806.5,2025-12-01 13:36:26
7751,キヤノン,4540.0,2025-12-01 13:36:26
6976,太陽誘電,3344.0,2025-12-01 13:36:27
7203,トヨタ自動車,3080.0,2025-12-01 13:36:27
8031,三井物産,4070.0,2025-12-01 13:36:28
8058,三菱商事,3666.0,2025-12-01 13:36:28
8306,三菱UFJフィナンシャル・グループ,2483.0,2025-12-01 13:36:29
8316,三井住友フィナンシャルグループ,4797.0,2025-12-01 13:36:29
8411,みずほフィナンシャルグループ,5565.0,2025-12-01 13:36:29
8591,オリックス,4185.0,2025-12-01 13:36:30
9101,日本郵船,4911.0,2025-12-01 13:36:30
9104,商船三井,4401.0,2025-12-01 13:36:31
9107,川崎汽船,2073.0,2025-12-01 13:36:31
4063,信越化学工業,4668.0,2025-12-01 13:36:31
4502,武田薬品工業,4484.0,2025-12-01 13:36:32
6762,TDK,2494.0,2025-12-01 13:36:32
2914,日本たばこ産業,5848.0,2025-12-01 13:36:33
7201,日産自動車,375.6000061035156,2025-12-01 13:36:33
7267,ホンダ,1534.0,2025-12-01 13:36:34
8105,Bitcoin Japan,394.0,2025-12-01 13:36:34
5016,JX金属,1645.0,2025-12-01 13:36:34
3656,KLab,231.0,2025-12-01 13:36:35
4565,そーせいグループ,856.0,2025-12-01 13:36:35
4582,シンバイオ製薬,106.0,2025-12-01 13:36:35
4592,サンバイオ,2036.0,2025-12-01 13:36:36
4477,BASE,323.0,2025-12-01 13:36:36
4599,ステムリム,272.0,2025-12-01 13:36:36
4167,ココペリ,313.0,2025-12-01 13:36:37
4385,メルカリ,2594.5,2025-12-01 13:36:37
4478,フリー,3050.0,2025-12-01 13:36:37
3903,gumi,406.0,2025-12-01 13:36:38
3911,Aiming,237.0,2025-12-01 13:36:38
3697,SHIFT,980.7999877929688,2025-12-01 13:36:39
3624,アクセルマーク,89.0,2025-12-01 13:36:39
7779,サイバーダイン,166.0,2025-12-01 13:36:39
3853,アステリア,1072.0,2025-12-01 13:36:40
3936,グローバルウェイ,140.0,2025-12-01 13:36:40
7359,東京通信,314.0,2025-12-01 13:36:40
4880,セルソース,505.0,2025-12-01 13:36:41
7138,TORICO,167.0,2025-12-01 13:36:41
5250,プライム・ストラテジー,1515.0,2025-12-01 13:36:41
7711,助川電気工業,7090.0,2025-12-01 13:36:42
4424,Amazia,380.0,2025-12-01 13:36:42
6731,ピクセラ,42.0,2025-12-01 13:36:42
7806,MTG,4290.0,2025-12-01 13:36:43
4234,サンエー化研,856.0,2025-12-01 13:36:43
4570,免疫生物研究所,3120.0,2025-12-01 13:36:44
4720,城南進学研究社,288.0,2025-12-01 13:36:44
4446,リンクユーグループ,1549.0,2025-12-01 13:36:44
