銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57900.0,2025-12-04 16:15:40
8035,東京エレクトロン,33680.0,2025-12-04 16:15:41
6857,アドバンテスト,20675.0,2025-12-04 16:15:41
6920,レーザーテック,32130.0,2025-12-04 16:15:42
9984,ソフトバンクグループ,18165.0,2025-12-04 16:15:43
6861,キーエンス,55900.0,2025-12-04 16:15:43
7735,SCREENホールディングス,14025.0,2025-12-04 16:15:43
6367,ダイキン工業,20220.0,2025-12-04 16:15:44
7974,任天堂,12925.0,2025-12-04 16:15:44
6954,ファナック,5942.0,2025-12-04 16:15:45
6501,日立製作所,4975.0,2025-12-04 16:15:45
6723,ルネサスエレクトロニクス,2126.5,2025-12-04 16:15:46
7751,キヤノン,4638.0,2025-12-04 16:15:47
6976,太陽誘電,3866.0,2025-12-04 16:15:47
7203,トヨタ自動車,3101.0,2025-12-04 16:15:48
8031,三井物産,4284.0,2025-12-04 16:15:48
8058,三菱商事,3829.0,2025-12-04 16:15:49
8306,三菱UFJフィナンシャル・グループ,2512.0,2025-12-04 16:15:49
8316,三井住友フィナンシャルグループ,4893.0,2025-12-04 16:15:50
8411,みずほフィナンシャルグループ,5655.0,2025-12-04 16:15:50
8591,オリックス,4346.0,2025-12-04 16:15:51
9101,日本郵船,4913.0,2025-12-04 16:15:51
9104,商船三井,4434.0,2025-12-04 16:15:51
9107,川崎汽船,2090.0,2025-12-04 16:15:52
4063,信越化学工業,4856.0,2025-12-04 16:15:52
4502,武田薬品工業,4471.0,2025-12-04 16:15:53
6762,TDK,2477.0,2025-12-04 16:15:53
2914,日本たばこ産業,5771.0,2025-12-04 16:15:54
7201,日産自動車,377.5,2025-12-04 16:15:55
7267,ホンダ,1549.0,2025-12-04 16:15:55
8105,Bitcoin Japan,306.0,2025-12-04 16:15:56
5016,JX金属,1694.0,2025-12-04 16:15:56
3656,KLab,267.0,2025-12-04 16:15:56
4565,そーせいグループ,821.0,2025-12-04 16:15:57
4582,シンバイオ製薬,100.0,2025-12-04 16:15:57
4592,サンバイオ,1658.0,2025-12-04 16:15:58
4477,BASE,324.0,2025-12-04 16:15:58
4599,ステムリム,255.0,2025-12-04 16:15:59
4167,ココペリ,309.0,2025-12-04 16:15:59
4385,メルカリ,2848.0,2025-12-04 16:15:59
4478,フリー,3005.0,2025-12-04 16:16:00
3903,gumi,378.0,2025-12-04 16:16:00
3911,Aiming,224.0,2025-12-04 16:16:00
3697,SHIFT,966.0,2025-12-04 16:16:01
3624,アクセルマーク,90.0,2025-12-04 16:16:01
7779,サイバーダイン,191.0,2025-12-04 16:16:02
3853,アステリア,1066.0,2025-12-04 16:16:02
3936,グローバルウェイ,133.0,2025-12-04 16:16:03
7359,東京通信,303.0,2025-12-04 16:16:03
4880,セルソース,482.0,2025-12-04 16:16:04
7138,TORICO,148.0,2025-12-04 16:16:04
5250,プライム・ストラテジー,1504.0,2025-12-04 16:16:04
7711,助川電気工業,6860.0,2025-12-04 16:16:05
4424,Amazia,342.0,2025-12-04 16:16:06
6731,ピクセラ,39.0,2025-12-04 16:16:06
7806,MTG,4625.0,2025-12-04 16:16:06
4234,サンエー化研,889.0,2025-12-04 16:16:07
4570,免疫生物研究所,1566.0,2025-12-04 16:16:07
4720,城南進学研究社,274.0,2025-12-04 16:16:08
4446,リンクユーグループ,1182.0,2025-12-04 16:16:08
