銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57090.0,2025-12-04 12:53:24
8035,東京エレクトロン,33150.0,2025-12-04 12:53:24
6857,アドバンテスト,20460.0,2025-12-04 12:53:25
6920,レーザーテック,32190.0,2025-12-04 12:53:25
9984,ソフトバンクグループ,17865.0,2025-12-04 12:53:26
6861,キーエンス,55240.0,2025-12-04 12:53:26
7735,SCREENホールディングス,13905.0,2025-12-04 12:53:27
6367,ダイキン工業,20110.0,2025-12-04 12:53:27
7974,任天堂,12810.0,2025-12-04 12:53:28
6954,ファナック,5834.0,2025-12-04 12:53:28
6501,日立製作所,4970.0,2025-12-04 12:53:28
6723,ルネサスエレクトロニクス,2071.0,2025-12-04 12:53:29
7751,キヤノン,4607.0,2025-12-04 12:53:29
6976,太陽誘電,3766.0,2025-12-04 12:53:30
7203,トヨタ自動車,3065.0,2025-12-04 12:53:30
8031,三井物産,4254.0,2025-12-04 12:53:30
8058,三菱商事,3800.0,2025-12-04 12:53:31
8306,三菱UFJフィナンシャル・グループ,2496.0,2025-12-04 12:53:31
8316,三井住友フィナンシャルグループ,4873.0,2025-12-04 12:53:32
8411,みずほフィナンシャルグループ,5625.0,2025-12-04 12:53:32
8591,オリックス,4324.0,2025-12-04 12:53:33
9101,日本郵船,4899.0,2025-12-04 12:53:33
9104,商船三井,4426.0,2025-12-04 12:53:33
9107,川崎汽船,2080.5,2025-12-04 12:53:34
4063,信越化学工業,4811.0,2025-12-04 12:53:34
4502,武田薬品工業,4457.0,2025-12-04 12:53:35
6762,TDK,2451.5,2025-12-04 12:53:35
2914,日本たばこ産業,5769.0,2025-12-04 12:53:36
7201,日産自動車,370.1000061035156,2025-12-04 12:53:36
7267,ホンダ,1536.5,2025-12-04 12:53:36
8105,Bitcoin Japan,307.0,2025-12-04 12:53:37
5016,JX金属,1686.0,2025-12-04 12:53:37
3656,KLab,241.0,2025-12-04 12:53:38
4565,そーせいグループ,818.0,2025-12-04 12:53:38
4582,シンバイオ製薬,100.0,2025-12-04 12:53:38
4592,サンバイオ,1720.0,2025-12-04 12:53:39
4477,BASE,320.0,2025-12-04 12:53:39
4599,ステムリム,254.0,2025-12-04 12:53:40
4167,ココペリ,310.0,2025-12-04 12:53:40
4385,メルカリ,2887.5,2025-12-04 12:53:40
4478,フリー,2983.0,2025-12-04 12:53:41
3903,gumi,375.0,2025-12-04 12:53:41
3911,Aiming,225.0,2025-12-04 12:53:42
3697,SHIFT,963.7999877929688,2025-12-04 12:53:42
3624,アクセルマーク,89.0,2025-12-04 12:53:42
7779,サイバーダイン,196.0,2025-12-04 12:53:43
3853,アステリア,1088.0,2025-12-04 12:53:43
3936,グローバルウェイ,133.0,2025-12-04 12:53:44
7359,東京通信,305.0,2025-12-04 12:53:44
4880,セルソース,481.0,2025-12-04 12:53:44
7138,TORICO,149.0,2025-12-04 12:53:45
5250,プライム・ストラテジー,1508.0,2025-12-04 12:53:45
7711,助川電気工業,6950.0,2025-12-04 12:53:45
4424,Amazia,359.0,2025-12-04 12:53:46
6731,ピクセラ,40.0,2025-12-04 12:53:46
7806,MTG,4625.0,2025-12-04 12:53:47
4234,サンエー化研,874.0,2025-12-04 12:53:47
4570,免疫生物研究所,1898.0,2025-12-04 12:53:47
4720,城南進学研究社,275.0,2025-12-04 12:53:48
4446,リンクユーグループ,1172.0,2025-12-04 12:53:48
