銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,55680.0,2025-12-09 13:48:49
8035,東京エレクトロン,33540.0,2025-12-09 13:48:50
6857,アドバンテスト,20345.0,2025-12-09 13:48:50
6920,レーザーテック,32760.0,2025-12-09 13:48:51
9984,ソフトバンクグループ,18550.0,2025-12-09 13:48:51
6861,キーエンス,54150.0,2025-12-09 13:48:52
7735,SCREENホールディングス,13885.0,2025-12-09 13:48:53
6367,ダイキン工業,19440.0,2025-12-09 13:48:53
7974,任天堂,11975.0,2025-12-09 13:48:54
6954,ファナック,6116.0,2025-12-09 13:48:54
6501,日立製作所,4908.0,2025-12-09 13:48:55
6723,ルネサスエレクトロニクス,2145.5,2025-12-09 13:48:55
7751,キヤノン,4643.0,2025-12-09 13:48:56
6976,太陽誘電,3856.0,2025-12-09 13:48:57
7203,トヨタ自動車,3067.0,2025-12-09 13:48:57
8031,三井物産,4292.0,2025-12-09 13:48:58
8058,三菱商事,3825.0,2025-12-09 13:48:58
8306,三菱UFJフィナンシャル・グループ,2489.0,2025-12-09 13:48:59
8316,三井住友フィナンシャルグループ,4887.0,2025-12-09 13:49:00
8411,みずほフィナンシャルグループ,5657.0,2025-12-09 13:49:00
8591,オリックス,4332.0,2025-12-09 13:49:01
9101,日本郵船,4839.0,2025-12-09 13:49:01
9104,商船三井,4441.0,2025-12-09 13:49:02
9107,川崎汽船,2094.0,2025-12-09 13:49:03
4063,信越化学工業,4789.0,2025-12-09 13:49:03
4502,武田薬品工業,4487.0,2025-12-09 13:49:04
6762,TDK,2409.5,2025-12-09 13:49:04
2914,日本たばこ産業,5790.0,2025-12-09 13:49:05
7201,日産自動車,381.5,2025-12-09 13:49:05
7267,ホンダ,1520.0,2025-12-09 13:49:06
8105,Bitcoin Japan,276.0,2025-12-09 13:49:07
5016,JX金属,1726.0,2025-12-09 13:49:07
3656,KLab,335.0,2025-12-09 13:49:08
4565,そーせいグループ,865.0,2025-12-09 13:49:08
4582,シンバイオ製薬,100.0,2025-12-09 13:49:09
4592,サンバイオ,1757.0,2025-12-09 13:49:09
4477,BASE,318.0,2025-12-09 13:49:10
4599,ステムリム,257.0,2025-12-09 13:49:11
4167,ココペリ,308.0,2025-12-09 13:49:11
4385,メルカリ,2934.5,2025-12-09 13:49:13
4478,フリー,3130.0,2025-12-09 13:49:13
3903,gumi,373.0,2025-12-09 13:49:14
3911,Aiming,222.0,2025-12-09 13:49:14
3697,SHIFT,939.0999755859375,2025-12-09 13:49:15
3624,アクセルマーク,92.0,2025-12-09 13:49:15
7779,サイバーダイン,193.0,2025-12-09 13:49:16
3853,アステリア,1008.0,2025-12-09 13:49:16
3936,グローバルウェイ,129.0,2025-12-09 13:49:17
7359,東京通信,300.0,2025-12-09 13:49:18
4880,セルソース,481.0,2025-12-09 13:49:18
7138,TORICO,141.0,2025-12-09 13:49:19
5250,プライム・ストラテジー,1491.0,2025-12-09 13:49:19
7711,助川電気工業,7020.0,2025-12-09 13:49:20
4424,Amazia,370.0,2025-12-09 13:49:20
6731,ピクセラ,39.0,2025-12-09 13:49:21
7806,MTG,4865.0,2025-12-09 13:49:21
4234,サンエー化研,868.0,2025-12-09 13:49:22
4570,免疫生物研究所,1760.0,2025-12-09 13:49:22
4720,城南進学研究社,273.0,2025-12-09 13:49:23
4446,リンクユーグループ,1040.0,2025-12-09 13:49:24
