銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56170.0,2025-12-01 15:40:05
8035,東京エレクトロン,31720.0,2025-12-01 15:40:06
6857,アドバンテスト,19620.0,2025-12-01 15:40:07
6920,レーザーテック,27830.0,2025-12-01 15:40:07
9984,ソフトバンクグループ,16560.0,2025-12-01 15:40:08
6861,キーエンス,52590.0,2025-12-01 15:40:09
7735,SCREENホールディングス,13075.0,2025-12-01 15:40:10
6367,ダイキン工業,19905.0,2025-12-01 15:40:11
7974,任天堂,13010.0,2025-12-01 15:40:11
6954,ファナック,5027.0,2025-12-01 15:40:12
6501,日立製作所,4845.0,2025-12-01 15:40:13
6723,ルネサスエレクトロニクス,1822.5,2025-12-01 15:40:14
7751,キヤノン,4532.0,2025-12-01 15:40:15
6976,太陽誘電,3354.0,2025-12-01 15:40:15
7203,トヨタ自動車,3097.0,2025-12-01 15:40:16
8031,三井物産,4077.0,2025-12-01 15:40:17
8058,三菱商事,3669.0,2025-12-01 15:40:18
8306,三菱UFJフィナンシャル・グループ,2463.5,2025-12-01 15:40:19
8316,三井住友フィナンシャルグループ,4767.0,2025-12-01 15:40:20
8411,みずほフィナンシャルグループ,5512.0,2025-12-01 15:40:20
8591,オリックス,4184.0,2025-12-01 15:40:21
9101,日本郵船,4910.0,2025-12-01 15:40:22
9104,商船三井,4413.0,2025-12-01 15:40:23
9107,川崎汽船,2082.5,2025-12-01 15:40:24
4063,信越化学工業,4665.0,2025-12-01 15:40:24
4502,武田薬品工業,4485.0,2025-12-01 15:40:25
6762,TDK,2478.5,2025-12-01 15:40:26
2914,日本たばこ産業,5853.0,2025-12-01 15:40:27
7201,日産自動車,375.79998779296875,2025-12-01 15:40:28
7267,ホンダ,1535.5,2025-12-01 15:40:29
8105,Bitcoin Japan,394.0,2025-12-01 15:40:29
5016,JX金属,1636.5,2025-12-01 15:40:30
3656,KLab,233.0,2025-12-01 15:40:31
4565,そーせいグループ,852.0,2025-12-01 15:40:31
4582,シンバイオ製薬,105.0,2025-12-01 15:40:32
4592,サンバイオ,2030.0,2025-12-01 15:40:33
4477,BASE,321.0,2025-12-01 15:40:33
4599,ステムリム,271.0,2025-12-01 15:40:34
4167,ココペリ,313.0,2025-12-01 15:40:34
4385,メルカリ,2609.0,2025-12-01 15:40:35
4478,フリー,3045.0,2025-12-01 15:40:36
3903,gumi,401.0,2025-12-01 15:40:36
3911,Aiming,234.0,2025-12-01 15:40:37
3697,SHIFT,979.0999755859375,2025-12-01 15:40:38
3624,アクセルマーク,89.0,2025-12-01 15:40:38
7779,サイバーダイン,166.0,2025-12-01 15:40:39
3853,アステリア,1078.0,2025-12-01 15:40:40
3936,グローバルウェイ,139.0,2025-12-01 15:40:40
7359,東京通信,318.0,2025-12-01 15:40:41
4880,セルソース,502.0,2025-12-01 15:40:42
7138,TORICO,163.0,2025-12-01 15:40:42
5250,プライム・ストラテジー,1519.0,2025-12-01 15:40:43
7711,助川電気工業,7100.0,2025-12-01 15:40:44
4424,Amazia,365.0,2025-12-01 15:40:45
6731,ピクセラ,43.0,2025-12-01 15:40:45
7806,MTG,4320.0,2025-12-01 15:40:46
4234,サンエー化研,843.0,2025-12-01 15:40:47
4570,免疫生物研究所,3120.0,2025-12-01 15:40:48
4720,城南進学研究社,274.0,2025-12-01 15:40:48
4446,リンクユーグループ,1550.0,2025-12-01 15:40:49
