銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56960.0,2025-12-02 15:21:27
8035,東京エレクトロン,31260.0,2025-12-02 15:21:28
6857,アドバンテスト,19745.0,2025-12-02 15:21:28
6920,レーザーテック,28400.0,2025-12-02 15:21:29
9984,ソフトバンクグループ,15680.0,2025-12-02 15:21:29
6861,キーエンス,51890.0,2025-12-02 15:21:30
7735,SCREENホールディングス,13085.0,2025-12-02 15:21:31
6367,ダイキン工業,19855.0,2025-12-02 15:21:31
7974,任天堂,12925.0,2025-12-02 15:21:32
6954,ファナック,5409.0,2025-12-02 15:21:33
6501,日立製作所,4884.0,2025-12-02 15:21:33
6723,ルネサスエレクトロニクス,1812.5,2025-12-02 15:21:34
7751,キヤノン,4582.0,2025-12-02 15:21:35
6976,太陽誘電,3482.0,2025-12-02 15:21:35
7203,トヨタ自動車,3053.0,2025-12-02 15:21:36
8031,三井物産,4111.0,2025-12-02 15:21:37
8058,三菱商事,3684.0,2025-12-02 15:21:37
8306,三菱UFJフィナンシャル・グループ,2513.0,2025-12-02 15:21:38
8316,三井住友フィナンシャルグループ,4907.0,2025-12-02 15:21:38
8411,みずほフィナンシャルグループ,5616.0,2025-12-02 15:21:39
8591,オリックス,4270.0,2025-12-02 15:21:40
9101,日本郵船,4925.0,2025-12-02 15:21:40
9104,商船三井,4430.0,2025-12-02 15:21:41
9107,川崎汽船,2066.5,2025-12-02 15:21:41
4063,信越化学工業,4716.0,2025-12-02 15:21:42
4502,武田薬品工業,4469.0,2025-12-02 15:21:43
6762,TDK,2493.5,2025-12-02 15:21:43
2914,日本たばこ産業,5914.0,2025-12-02 15:21:44
7201,日産自動車,370.3999938964844,2025-12-02 15:21:45
7267,ホンダ,1520.0,2025-12-02 15:21:45
8105,Bitcoin Japan,337.0,2025-12-02 15:21:46
5016,JX金属,1662.5,2025-12-02 15:21:47
3656,KLab,244.0,2025-12-02 15:21:47
4565,そーせいグループ,829.0,2025-12-02 15:21:48
4582,シンバイオ製薬,101.0,2025-12-02 15:21:48
4592,サンバイオ,1764.0,2025-12-02 15:21:49
4477,BASE,314.0,2025-12-02 15:21:50
4599,ステムリム,267.0,2025-12-02 15:21:50
4167,ココペリ,311.0,2025-12-02 15:21:51
4385,メルカリ,2701.5,2025-12-02 15:21:51
4478,フリー,3000.0,2025-12-02 15:21:52
3903,gumi,386.0,2025-12-02 15:21:52
3911,Aiming,228.0,2025-12-02 15:21:53
3697,SHIFT,936.4000244140625,2025-12-02 15:21:53
3624,アクセルマーク,90.0,2025-12-02 15:21:54
7779,サイバーダイン,170.0,2025-12-02 15:21:54
3853,アステリア,1077.0,2025-12-02 15:21:55
3936,グローバルウェイ,132.0,2025-12-02 15:21:55
7359,東京通信,311.0,2025-12-02 15:21:56
4880,セルソース,489.0,2025-12-02 15:21:57
7138,TORICO,154.0,2025-12-02 15:21:57
5250,プライム・ストラテジー,1506.0,2025-12-02 15:21:58
7711,助川電気工業,6790.0,2025-12-02 15:21:59
4424,Amazia,327.0,2025-12-02 15:21:59
6731,ピクセラ,40.0,2025-12-02 15:22:00
7806,MTG,4415.0,2025-12-02 15:22:00
4234,サンエー化研,990.0,2025-12-02 15:22:01
4720,城南進学研究社,269.0,2025-12-02 15:22:02
4446,リンクユーグループ,1150.0,2025-12-02 15:22:03
