銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56990.0,2025-12-02 14:42:45
8035,東京エレクトロン,31370.0,2025-12-02 14:42:45
6857,アドバンテスト,19870.0,2025-12-02 14:42:46
6920,レーザーテック,28455.0,2025-12-02 14:42:46
9984,ソフトバンクグループ,15760.0,2025-12-02 14:42:47
6861,キーエンス,51810.0,2025-12-02 14:42:47
7735,SCREENホールディングス,13220.0,2025-12-02 14:42:48
6367,ダイキン工業,19770.0,2025-12-02 14:42:48
7974,任天堂,12920.0,2025-12-02 14:42:49
6954,ファナック,5421.0,2025-12-02 14:42:49
6501,日立製作所,4881.0,2025-12-02 14:42:50
6723,ルネサスエレクトロニクス,1806.5,2025-12-02 14:42:50
7751,キヤノン,4583.0,2025-12-02 14:42:51
6976,太陽誘電,3488.0,2025-12-02 14:42:51
7203,トヨタ自動車,3053.0,2025-12-02 14:42:52
8031,三井物産,4108.0,2025-12-02 14:42:52
8058,三菱商事,3678.0,2025-12-02 14:42:53
8306,三菱UFJフィナンシャル・グループ,2511.0,2025-12-02 14:42:53
8316,三井住友フィナンシャルグループ,4896.0,2025-12-02 14:42:54
8411,みずほフィナンシャルグループ,5604.0,2025-12-02 14:42:54
8591,オリックス,4257.0,2025-12-02 14:42:55
9101,日本郵船,4931.0,2025-12-02 14:42:55
9104,商船三井,4431.0,2025-12-02 14:42:56
9107,川崎汽船,2073.5,2025-12-02 14:42:56
4063,信越化学工業,4714.0,2025-12-02 14:42:57
4502,武田薬品工業,4453.0,2025-12-02 14:42:57
6762,TDK,2494.0,2025-12-02 14:42:58
2914,日本たばこ産業,5910.0,2025-12-02 14:42:58
7201,日産自動車,370.1000061035156,2025-12-02 14:42:59
7267,ホンダ,1519.5,2025-12-02 14:42:59
8105,Bitcoin Japan,328.0,2025-12-02 14:43:00
5016,JX金属,1680.0,2025-12-02 14:43:00
3656,KLab,244.0,2025-12-02 14:43:01
4565,そーせいグループ,826.0,2025-12-02 14:43:01
4582,シンバイオ製薬,101.0,2025-12-02 14:43:01
4592,サンバイオ,1783.0,2025-12-02 14:43:02
4477,BASE,315.0,2025-12-02 14:43:02
4599,ステムリム,267.0,2025-12-02 14:43:03
4167,ココペリ,312.0,2025-12-02 14:43:03
4385,メルカリ,2683.0,2025-12-02 14:43:03
4478,フリー,3005.0,2025-12-02 14:43:04
3903,gumi,386.0,2025-12-02 14:43:04
3911,Aiming,229.0,2025-12-02 14:43:05
3697,SHIFT,935.7000122070312,2025-12-02 14:43:05
3624,アクセルマーク,89.0,2025-12-02 14:43:06
7779,サイバーダイン,170.0,2025-12-02 14:43:06
3853,アステリア,1074.0,2025-12-02 14:43:07
3936,グローバルウェイ,133.0,2025-12-02 14:43:07
7359,東京通信,311.0,2025-12-02 14:43:07
4880,セルソース,488.0,2025-12-02 14:43:08
7138,TORICO,152.0,2025-12-02 14:43:08
5250,プライム・ストラテジー,1508.0,2025-12-02 14:43:09
7711,助川電気工業,6720.0,2025-12-02 14:43:09
4424,Amazia,337.0,2025-12-02 14:43:10
6731,ピクセラ,41.0,2025-12-02 14:43:10
7806,MTG,4425.0,2025-12-02 14:43:10
4234,サンエー化研,990.0,2025-12-02 14:43:11
4720,城南進学研究社,270.0,2025-12-02 14:43:12
4446,リンクユーグループ,1150.0,2025-12-02 14:43:12
