銘柄コード,銘柄名,株価,取得時間
9983,ファーストリテイリング,56840.0,2025-11-28 04:44:07
8035,東京エレクトロン,31560.0,2025-11-28 04:44:07
6857,アドバンテスト,20380.0,2025-11-28 04:44:08
6920,レーザーテック,27825.0,2025-11-28 04:44:08
9984,ソフトバンクグループ,16745.0,2025-11-28 04:44:09
6861,キーエンス,52900.0,2025-11-28 04:44:09
7735,SCREENホールディングス,12710.0,2025-11-28 04:44:10
6367,ダイキン工業,20270.0,2025-11-28 04:44:10
7974,任天堂,13230.0,2025-11-28 04:44:10
6954,ファナック,5003.0,2025-11-28 04:44:11
6501,日立製作所,4967.0,2025-11-28 04:44:11
6723,ルネサスエレクトロニクス,1825.0,2025-11-28 04:44:12
7751,キヤノン,4592.0,2025-11-28 04:44:12
6976,太陽誘電,3263.0,2025-11-28 04:44:13
7203,トヨタ自動車,3128.0,2025-11-28 04:44:13
8031,三井物産,4120.0,2025-11-28 04:44:14
8058,三菱商事,3684.0,2025-11-28 04:44:14
8306,三菱UFJフィナンシャル・グループ,2418.0,2025-11-28 04:44:14
8316,三井住友フィナンシャルグループ,4696.0,2025-11-28 04:44:15
8411,みずほフィナンシャルグループ,5482.0,2025-11-28 04:44:15
8591,オリックス,4223.0,2025-11-28 04:44:16
9101,日本郵船,4968.0,2025-11-28 04:44:16
9104,商船三井,4429.0,2025-11-28 04:44:17
9107,川崎汽船,2083.5,2025-11-28 04:44:17
4063,信越化学工業,4670.0,2025-11-28 04:44:18
4502,武田薬品工業,4495.0,2025-11-28 04:44:18
6762,TDK,2560.5,2025-11-28 04:44:19
2914,日本たばこ産業,5924.0,2025-11-28 04:44:19
7201,日産自動車,383.3999938964844,2025-11-28 04:44:20
7267,ホンダ,1566.0,2025-11-28 04:44:20
8105,Bitcoin Japan,394.0,2025-11-28 04:44:21
5016,JX金属,1669.0,2025-11-28 04:44:21
3656,KLab,254.0,2025-11-28 04:44:21
4565,そーせいグループ,875.0,2025-11-28 04:44:22
4582,シンバイオ製薬,106.0,2025-11-28 04:44:22
4592,サンバイオ,2216.0,2025-11-28 04:44:22
4477,BASE,334.0,2025-11-28 04:44:23
4599,ステムリム,281.0,2025-11-28 04:44:23
4167,ココペリ,316.0,2025-11-28 04:44:24
4385,メルカリ,2649.5,2025-11-28 04:44:24
4478,フリー,3060.0,2025-11-28 04:44:24
3903,gumi,419.0,2025-11-28 04:44:25
3911,Aiming,246.0,2025-11-28 04:44:25
3697,SHIFT,976.2000122070312,2025-11-28 04:44:25
3624,アクセルマーク,92.0,2025-11-28 04:44:26
7779,サイバーダイン,171.0,2025-11-28 04:44:26
3853,アステリア,1129.0,2025-11-28 04:44:27
3936,グローバルウェイ,144.0,2025-11-28 04:44:27
7359,東京通信,320.0,2025-11-28 04:44:27
4880,セルソース,522.0,2025-11-28 04:44:28
7138,TORICO,177.0,2025-11-28 04:44:28
5250,プライム・ストラテジー,1540.0,2025-11-28 04:44:28
7711,助川電気工業,7390.0,2025-11-28 04:44:29
4424,Amazia,555.0,2025-11-28 04:44:29
6731,ピクセラ,43.0,2025-11-28 04:44:30
7806,MTG,4510.0,2025-11-28 04:44:30
4234,サンエー化研,800.0,2025-11-28 04:44:30
4570,免疫生物研究所,3120.0,2025-11-28 04:44:31
4720,城南進学研究社,294.0,2025-11-28 04:44:31
4446,リンクユーグループ,1228.0,2025-11-28 04:44:32
