銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57460.0,2025-12-04 14:42:13
8035,東京エレクトロン,33530.0,2025-12-04 14:42:13
6857,アドバンテスト,20590.0,2025-12-04 14:42:14
6920,レーザーテック,32260.0,2025-12-04 14:42:14
9984,ソフトバンクグループ,18285.0,2025-12-04 14:42:15
6861,キーエンス,55860.0,2025-12-04 14:42:15
7735,SCREENホールディングス,13955.0,2025-12-04 14:42:16
6367,ダイキン工業,20125.0,2025-12-04 14:42:16
7974,任天堂,12920.0,2025-12-04 14:42:17
6954,ファナック,5939.0,2025-12-04 14:42:17
6501,日立製作所,4991.0,2025-12-04 14:42:18
6723,ルネサスエレクトロニクス,2130.0,2025-12-04 14:42:18
7751,キヤノン,4626.0,2025-12-04 14:42:18
6976,太陽誘電,3861.0,2025-12-04 14:42:19
7203,トヨタ自動車,3100.0,2025-12-04 14:42:19
8031,三井物産,4289.0,2025-12-04 14:42:20
8058,三菱商事,3843.0,2025-12-04 14:42:20
8306,三菱UFJフィナンシャル・グループ,2506.5,2025-12-04 14:42:21
8316,三井住友フィナンシャルグループ,4890.0,2025-12-04 14:42:21
8411,みずほフィナンシャルグループ,5649.0,2025-12-04 14:42:22
8591,オリックス,4328.0,2025-12-04 14:42:22
9101,日本郵船,4899.0,2025-12-04 14:42:23
9104,商船三井,4426.0,2025-12-04 14:42:23
9107,川崎汽船,2085.5,2025-12-04 14:42:23
4063,信越化学工業,4846.0,2025-12-04 14:42:24
4502,武田薬品工業,4456.0,2025-12-04 14:42:24
6762,TDK,2473.5,2025-12-04 14:42:25
2914,日本たばこ産業,5764.0,2025-12-04 14:42:25
7201,日産自動車,374.3999938964844,2025-12-04 14:42:26
7267,ホンダ,1548.0,2025-12-04 14:42:26
8105,Bitcoin Japan,307.0,2025-12-04 14:42:27
5016,JX金属,1694.5,2025-12-04 14:42:27
3656,KLab,262.0,2025-12-04 14:42:27
4565,そーせいグループ,820.0,2025-12-04 14:42:28
4582,シンバイオ製薬,100.0,2025-12-04 14:42:28
4592,サンバイオ,1670.0,2025-12-04 14:42:29
4477,BASE,320.0,2025-12-04 14:42:29
4599,ステムリム,255.0,2025-12-04 14:42:29
4167,ココペリ,308.0,2025-12-04 14:42:30
4385,メルカリ,2860.5,2025-12-04 14:42:30
4478,フリー,3000.0,2025-12-04 14:42:31
3903,gumi,378.0,2025-12-04 14:42:31
3911,Aiming,225.0,2025-12-04 14:42:32
3697,SHIFT,967.4000244140625,2025-12-04 14:42:32
3624,アクセルマーク,90.0,2025-12-04 14:42:32
7779,サイバーダイン,192.0,2025-12-04 14:42:33
3853,アステリア,1068.0,2025-12-04 14:42:33
3936,グローバルウェイ,134.0,2025-12-04 14:42:34
7359,東京通信,305.0,2025-12-04 14:42:34
4880,セルソース,480.0,2025-12-04 14:42:35
7138,TORICO,147.0,2025-12-04 14:42:35
5250,プライム・ストラテジー,1505.0,2025-12-04 14:42:35
7711,助川電気工業,6870.0,2025-12-04 14:42:36
4424,Amazia,349.0,2025-12-04 14:42:36
6731,ピクセラ,40.0,2025-12-04 14:42:37
7806,MTG,4625.0,2025-12-04 14:42:37
4234,サンエー化研,887.0,2025-12-04 14:42:38
4570,免疫生物研究所,1601.0,2025-12-04 14:42:38
4720,城南進学研究社,275.0,2025-12-04 14:42:38
4446,リンクユーグループ,1190.0,2025-12-04 14:42:39
