銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56980.0,2025-12-04 10:02:31
8035,東京エレクトロン,33090.0,2025-12-04 10:02:31
6857,アドバンテスト,20505.0,2025-12-04 10:02:32
6920,レーザーテック,30490.0,2025-12-04 10:02:32
9984,ソフトバンクグループ,17440.0,2025-12-04 10:02:32
6861,キーエンス,54110.0,2025-12-04 10:02:33
7735,SCREENホールディングス,13960.0,2025-12-04 10:02:33
6367,ダイキン工業,20155.0,2025-12-04 10:02:34
7974,任天堂,12770.0,2025-12-04 10:02:34
6954,ファナック,5651.0,2025-12-04 10:02:35
6501,日立製作所,4931.0,2025-12-04 10:02:36
6723,ルネサスエレクトロニクス,2057.5,2025-12-04 10:02:36
7751,キヤノン,4607.0,2025-12-04 10:02:36
6976,太陽誘電,3705.0,2025-12-04 10:02:37
7203,トヨタ自動車,3038.0,2025-12-04 10:02:37
8031,三井物産,4181.0,2025-12-04 10:02:38
8058,三菱商事,3743.0,2025-12-04 10:02:38
8306,三菱UFJフィナンシャル・グループ,2484.5,2025-12-04 10:02:39
8316,三井住友フィナンシャルグループ,4850.0,2025-12-04 10:02:39
8411,みずほフィナンシャルグループ,5600.0,2025-12-04 10:02:40
8591,オリックス,4283.0,2025-12-04 10:02:40
9101,日本郵船,4844.0,2025-12-04 10:02:41
9104,商船三井,4377.0,2025-12-04 10:02:41
9107,川崎汽船,2057.0,2025-12-04 10:02:42
4063,信越化学工業,4751.0,2025-12-04 10:02:42
4502,武田薬品工業,4443.0,2025-12-04 10:02:43
6762,TDK,2447.5,2025-12-04 10:02:43
2914,日本たばこ産業,5770.0,2025-12-04 10:02:44
7201,日産自動車,368.79998779296875,2025-12-04 10:02:44
7267,ホンダ,1529.5,2025-12-04 10:02:44
8105,Bitcoin Japan,321.0,2025-12-04 10:02:45
5016,JX金属,1670.0,2025-12-04 10:02:45
3656,KLab,243.0,2025-12-04 10:02:46
4565,そーせいグループ,816.0,2025-12-04 10:02:46
4582,シンバイオ製薬,100.0,2025-12-04 10:02:46
4592,サンバイオ,1719.0,2025-12-04 10:02:47
4477,BASE,322.0,2025-12-04 10:02:47
4599,ステムリム,257.0,2025-12-04 10:02:48
4167,ココペリ,313.0,2025-12-04 10:02:48
4385,メルカリ,2867.0,2025-12-04 10:02:49
4478,フリー,2993.0,2025-12-04 10:02:49
3903,gumi,381.0,2025-12-04 10:02:49
3911,Aiming,225.0,2025-12-04 10:02:50
3697,SHIFT,965.5999755859375,2025-12-04 10:02:50
3624,アクセルマーク,90.0,2025-12-04 10:02:51
7779,サイバーダイン,192.0,2025-12-04 10:02:51
3853,アステリア,1098.0,2025-12-04 10:02:52
3936,グローバルウェイ,134.0,2025-12-04 10:02:52
7359,東京通信,306.0,2025-12-04 10:02:53
4880,セルソース,485.0,2025-12-04 10:02:53
7138,TORICO,150.0,2025-12-04 10:02:54
5250,プライム・ストラテジー,1510.0,2025-12-04 10:02:54
7711,助川電気工業,6940.0,2025-12-04 10:02:54
4424,Amazia,348.0,2025-12-04 10:02:55
6731,ピクセラ,41.0,2025-12-04 10:02:55
7806,MTG,4660.0,2025-12-04 10:02:56
4234,サンエー化研,861.0,2025-12-04 10:02:56
4570,免疫生物研究所,1838.0,2025-12-04 10:02:57
4720,城南進学研究社,272.0,2025-12-04 10:02:57
4446,リンクユーグループ,1170.0,2025-12-04 10:02:58
