銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56640.0,2025-12-03 12:37:44
8035,東京エレクトロン,32700.0,2025-12-03 12:37:44
6857,アドバンテスト,20820.0,2025-12-03 12:37:45
6920,レーザーテック,29980.0,2025-12-03 12:37:45
9984,ソフトバンクグループ,16490.0,2025-12-03 12:37:46
6861,キーエンス,52420.0,2025-12-03 12:37:46
7735,SCREENホールディングス,14035.0,2025-12-03 12:37:47
6367,ダイキン工業,19760.0,2025-12-03 12:37:47
7974,任天堂,12735.0,2025-12-03 12:37:48
6954,ファナック,5309.0,2025-12-03 12:37:48
6501,日立製作所,4897.0,2025-12-03 12:37:49
6723,ルネサスエレクトロニクス,1940.5,2025-12-03 12:37:50
7751,キヤノン,4604.0,2025-12-03 12:37:50
6976,太陽誘電,3717.0,2025-12-03 12:37:51
7203,トヨタ自動車,3017.0,2025-12-03 12:37:51
8031,三井物産,4119.0,2025-12-03 12:37:52
8058,三菱商事,3682.0,2025-12-03 12:37:52
8306,三菱UFJフィナンシャル・グループ,2479.0,2025-12-03 12:37:53
8316,三井住友フィナンシャルグループ,4824.0,2025-12-03 12:37:53
8411,みずほフィナンシャルグループ,5588.0,2025-12-03 12:37:54
8591,オリックス,4232.0,2025-12-03 12:37:54
9101,日本郵船,4859.0,2025-12-03 12:37:55
9104,商船三井,4392.0,2025-12-03 12:37:55
9107,川崎汽船,2051.5,2025-12-03 12:37:56
4063,信越化学工業,4676.0,2025-12-03 12:37:56
4502,武田薬品工業,4431.0,2025-12-03 12:37:57
6762,TDK,2462.0,2025-12-03 12:37:57
2914,日本たばこ産業,5835.0,2025-12-03 12:37:58
7201,日産自動車,365.29998779296875,2025-12-03 12:37:58
7267,ホンダ,1506.0,2025-12-03 12:37:59
8105,Bitcoin Japan,331.0,2025-12-03 12:37:59
5016,JX金属,1668.5,2025-12-03 12:38:00
3656,KLab,247.0,2025-12-03 12:38:00
4565,そーせいグループ,810.0,2025-12-03 12:38:01
4582,シンバイオ製薬,101.0,2025-12-03 12:38:01
4592,サンバイオ,1666.0,2025-12-03 12:38:01
4477,BASE,316.0,2025-12-03 12:38:02
4599,ステムリム,256.0,2025-12-03 12:38:02
4167,ココペリ,312.0,2025-12-03 12:38:03
4385,メルカリ,2750.0,2025-12-03 12:38:03
4478,フリー,3010.0,2025-12-03 12:38:04
3903,gumi,388.0,2025-12-03 12:38:04
3911,Aiming,226.0,2025-12-03 12:38:04
3697,SHIFT,941.2000122070312,2025-12-03 12:38:05
3624,アクセルマーク,88.0,2025-12-03 12:38:05
7779,サイバーダイン,179.0,2025-12-03 12:38:06
3853,アステリア,1098.0,2025-12-03 12:38:06
3936,グローバルウェイ,131.0,2025-12-03 12:38:07
7359,東京通信,306.0,2025-12-03 12:38:07
4880,セルソース,485.0,2025-12-03 12:38:07
7138,TORICO,155.0,2025-12-03 12:38:08
5250,プライム・ストラテジー,1505.0,2025-12-03 12:38:08
7711,助川電気工業,7000.0,2025-12-03 12:38:09
4424,Amazia,325.0,2025-12-03 12:38:09
6731,ピクセラ,40.0,2025-12-03 12:38:09
7806,MTG,4435.0,2025-12-03 12:38:10
4234,サンエー化研,922.0,2025-12-03 12:38:10
4720,城南進学研究社,274.0,2025-12-03 12:38:11
4446,リンクユーグループ,1126.0,2025-12-03 12:38:11
