銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56720.0,2025-12-03 14:14:14
8035,東京エレクトロン,32960.0,2025-12-03 14:14:15
6857,アドバンテスト,21115.0,2025-12-03 14:14:15
6920,レーザーテック,30270.0,2025-12-03 14:14:15
9984,ソフトバンクグループ,16950.0,2025-12-03 14:14:16
6861,キーエンス,52420.0,2025-12-03 14:14:16
7735,SCREENホールディングス,14070.0,2025-12-03 14:14:17
6367,ダイキン工業,19725.0,2025-12-03 14:14:17
7974,任天堂,12785.0,2025-12-03 14:14:18
6954,ファナック,5261.0,2025-12-03 14:14:18
6501,日立製作所,4923.0,2025-12-03 14:14:18
6723,ルネサスエレクトロニクス,1938.5,2025-12-03 14:14:19
7751,キヤノン,4617.0,2025-12-03 14:14:19
6976,太陽誘電,3712.0,2025-12-03 14:14:20
7203,トヨタ自動車,3007.0,2025-12-03 14:14:20
8031,三井物産,4118.0,2025-12-03 14:14:21
8058,三菱商事,3699.0,2025-12-03 14:14:21
8306,三菱UFJフィナンシャル・グループ,2472.5,2025-12-03 14:14:21
8316,三井住友フィナンシャルグループ,4824.0,2025-12-03 14:14:22
8411,みずほフィナンシャルグループ,5576.0,2025-12-03 14:14:22
8591,オリックス,4246.0,2025-12-03 14:14:23
9101,日本郵船,4851.0,2025-12-03 14:14:23
9104,商船三井,4386.0,2025-12-03 14:14:24
9107,川崎汽船,2054.5,2025-12-03 14:14:24
4063,信越化学工業,4666.0,2025-12-03 14:14:25
4502,武田薬品工業,4445.0,2025-12-03 14:14:25
6762,TDK,2437.5,2025-12-03 14:14:25
2914,日本たばこ産業,5819.0,2025-12-03 14:14:26
7201,日産自動車,363.29998779296875,2025-12-03 14:14:26
7267,ホンダ,1507.5,2025-12-03 14:14:27
8105,Bitcoin Japan,322.0,2025-12-03 14:14:27
5016,JX金属,1669.5,2025-12-03 14:14:27
3656,KLab,253.0,2025-12-03 14:14:28
4565,そーせいグループ,820.0,2025-12-03 14:14:28
4582,シンバイオ製薬,100.0,2025-12-03 14:14:29
4592,サンバイオ,1578.0,2025-12-03 14:14:29
4477,BASE,318.0,2025-12-03 14:14:29
4599,ステムリム,253.0,2025-12-03 14:14:30
4167,ココペリ,311.0,2025-12-03 14:14:30
4385,メルカリ,2733.0,2025-12-03 14:14:31
4478,フリー,3005.0,2025-12-03 14:14:31
3903,gumi,384.0,2025-12-03 14:14:31
3911,Aiming,226.0,2025-12-03 14:14:32
3697,SHIFT,933.9000244140625,2025-12-03 14:14:32
3624,アクセルマーク,89.0,2025-12-03 14:14:33
7779,サイバーダイン,180.0,2025-12-03 14:14:33
3853,アステリア,1091.0,2025-12-03 14:14:33
3936,グローバルウェイ,133.0,2025-12-03 14:14:34
7359,東京通信,305.0,2025-12-03 14:14:34
4880,セルソース,484.0,2025-12-03 14:14:35
7138,TORICO,153.0,2025-12-03 14:14:35
5250,プライム・ストラテジー,1505.0,2025-12-03 14:14:35
7711,助川電気工業,7100.0,2025-12-03 14:14:36
4424,Amazia,325.0,2025-12-03 14:14:36
6731,ピクセラ,39.0,2025-12-03 14:14:37
7806,MTG,4655.0,2025-12-03 14:14:37
4234,サンエー化研,899.0,2025-12-03 14:14:37
4720,城南進学研究社,273.0,2025-12-03 14:14:38
4446,リンクユーグループ,1287.0,2025-12-03 14:14:39
