銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57210.0,2025-12-04 13:48:41
8035,東京エレクトロン,33320.0,2025-12-04 13:48:41
6857,アドバンテスト,20455.0,2025-12-04 13:48:42
6920,レーザーテック,32310.0,2025-12-04 13:48:42
9984,ソフトバンクグループ,18055.0,2025-12-04 13:48:43
6861,キーエンス,55730.0,2025-12-04 13:48:43
7735,SCREENホールディングス,13940.0,2025-12-04 13:48:44
6367,ダイキン工業,20155.0,2025-12-04 13:48:44
7974,任天堂,12885.0,2025-12-04 13:48:45
6954,ファナック,5958.0,2025-12-04 13:48:45
6501,日立製作所,4987.0,2025-12-04 13:48:46
6723,ルネサスエレクトロニクス,2116.0,2025-12-04 13:48:46
7751,キヤノン,4626.0,2025-12-04 13:48:47
6976,太陽誘電,3854.0,2025-12-04 13:48:48
7203,トヨタ自動車,3094.0,2025-12-04 13:48:48
8031,三井物産,4273.0,2025-12-04 13:48:49
8058,三菱商事,3841.0,2025-12-04 13:48:49
8306,三菱UFJフィナンシャル・グループ,2509.5,2025-12-04 13:48:50
8316,三井住友フィナンシャルグループ,4897.0,2025-12-04 13:48:50
8411,みずほフィナンシャルグループ,5647.0,2025-12-04 13:48:51
8591,オリックス,4331.0,2025-12-04 13:48:51
9101,日本郵船,4904.0,2025-12-04 13:48:52
9104,商船三井,4432.0,2025-12-04 13:48:52
9107,川崎汽船,2084.5,2025-12-04 13:48:53
4063,信越化学工業,4831.0,2025-12-04 13:48:53
4502,武田薬品工業,4468.0,2025-12-04 13:48:54
6762,TDK,2467.0,2025-12-04 13:48:54
2914,日本たばこ産業,5768.0,2025-12-04 13:48:55
7201,日産自動車,373.20001220703125,2025-12-04 13:48:55
7267,ホンダ,1547.0,2025-12-04 13:48:56
8105,Bitcoin Japan,312.0,2025-12-04 13:48:56
5016,JX金属,1685.5,2025-12-04 13:48:57
3656,KLab,252.0,2025-12-04 13:48:57
4565,そーせいグループ,822.0,2025-12-04 13:48:58
4582,シンバイオ製薬,100.0,2025-12-04 13:48:58
4592,サンバイオ,1698.0,2025-12-04 13:48:59
4477,BASE,319.0,2025-12-04 13:48:59
4599,ステムリム,255.0,2025-12-04 13:48:59
4167,ココペリ,307.0,2025-12-04 13:49:00
4385,メルカリ,2873.5,2025-12-04 13:49:00
4478,フリー,2993.0,2025-12-04 13:49:01
3903,gumi,376.0,2025-12-04 13:49:01
3911,Aiming,225.0,2025-12-04 13:49:02
3697,SHIFT,965.2999877929688,2025-12-04 13:49:02
3624,アクセルマーク,89.0,2025-12-04 13:49:03
7779,サイバーダイン,193.0,2025-12-04 13:49:03
3853,アステリア,1084.0,2025-12-04 13:49:04
3936,グローバルウェイ,134.0,2025-12-04 13:49:04
7359,東京通信,305.0,2025-12-04 13:49:05
4880,セルソース,481.0,2025-12-04 13:49:05
7138,TORICO,146.0,2025-12-04 13:49:06
5250,プライム・ストラテジー,1511.0,2025-12-04 13:49:06
7711,助川電気工業,6900.0,2025-12-04 13:49:06
4424,Amazia,357.0,2025-12-04 13:49:07
6731,ピクセラ,40.0,2025-12-04 13:49:07
7806,MTG,4600.0,2025-12-04 13:49:08
4234,サンエー化研,885.0,2025-12-04 13:49:08
4570,免疫生物研究所,1828.0,2025-12-04 13:49:09
4720,城南進学研究社,275.0,2025-12-04 13:49:09
4446,リンクユーグループ,1172.0,2025-12-04 13:49:10
