銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56700.0,2025-12-03 13:22:26
8035,東京エレクトロン,32880.0,2025-12-03 13:22:26
6857,アドバンテスト,21030.0,2025-12-03 13:22:27
6920,レーザーテック,30060.0,2025-12-03 13:22:27
9984,ソフトバンクグループ,16880.0,2025-12-03 13:22:28
6861,キーエンス,52410.0,2025-12-03 13:22:28
7735,SCREENホールディングス,14050.0,2025-12-03 13:22:29
6367,ダイキン工業,19725.0,2025-12-03 13:22:29
7974,任天堂,12775.0,2025-12-03 13:22:30
6954,ファナック,5284.0,2025-12-03 13:22:30
6501,日立製作所,4931.0,2025-12-03 13:22:31
6723,ルネサスエレクトロニクス,1942.0,2025-12-03 13:22:31
7751,キヤノン,4616.0,2025-12-03 13:22:32
6976,太陽誘電,3743.0,2025-12-03 13:22:32
7203,トヨタ自動車,3015.0,2025-12-03 13:22:33
8031,三井物産,4122.0,2025-12-03 13:22:33
8058,三菱商事,3697.0,2025-12-03 13:22:34
8306,三菱UFJフィナンシャル・グループ,2478.0,2025-12-03 13:22:34
8316,三井住友フィナンシャルグループ,4830.0,2025-12-03 13:22:35
8411,みずほフィナンシャルグループ,5583.0,2025-12-03 13:22:35
8591,オリックス,4244.0,2025-12-03 13:22:35
9101,日本郵船,4851.0,2025-12-03 13:22:36
9104,商船三井,4388.0,2025-12-03 13:22:36
9107,川崎汽船,2053.0,2025-12-03 13:22:37
4063,信越化学工業,4661.0,2025-12-03 13:22:37
4502,武田薬品工業,4437.0,2025-12-03 13:22:38
6762,TDK,2441.5,2025-12-03 13:22:38
2914,日本たばこ産業,5820.0,2025-12-03 13:22:39
7201,日産自動車,364.8999938964844,2025-12-03 13:22:39
7267,ホンダ,1510.5,2025-12-03 13:22:40
8105,Bitcoin Japan,326.0,2025-12-03 13:22:40
5016,JX金属,1667.0,2025-12-03 13:22:41
3656,KLab,251.0,2025-12-03 13:22:41
4565,そーせいグループ,815.0,2025-12-03 13:22:41
4582,シンバイオ製薬,100.0,2025-12-03 13:22:42
4592,サンバイオ,1621.0,2025-12-03 13:22:42
4477,BASE,319.0,2025-12-03 13:22:43
4599,ステムリム,255.0,2025-12-03 13:22:43
4167,ココペリ,311.0,2025-12-03 13:22:44
4385,メルカリ,2751.0,2025-12-03 13:22:44
4478,フリー,3000.0,2025-12-03 13:22:44
3903,gumi,384.0,2025-12-03 13:22:45
3911,Aiming,227.0,2025-12-03 13:22:45
3697,SHIFT,937.0999755859375,2025-12-03 13:22:46
3624,アクセルマーク,89.0,2025-12-03 13:22:46
7779,サイバーダイン,183.0,2025-12-03 13:22:46
3853,アステリア,1091.0,2025-12-03 13:22:47
3936,グローバルウェイ,133.0,2025-12-03 13:22:47
7359,東京通信,306.0,2025-12-03 13:22:48
4880,セルソース,486.0,2025-12-03 13:22:48
7138,TORICO,153.0,2025-12-03 13:22:49
5250,プライム・ストラテジー,1511.0,2025-12-03 13:22:49
7711,助川電気工業,6990.0,2025-12-03 13:22:49
4424,Amazia,323.0,2025-12-03 13:22:50
6731,ピクセラ,39.0,2025-12-03 13:22:50
7806,MTG,4505.0,2025-12-03 13:22:51
4234,サンエー化研,896.0,2025-12-03 13:22:51
4720,城南進学研究社,273.0,2025-12-03 13:22:52
4446,リンクユーグループ,1224.0,2025-12-03 13:22:52
