銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57900.0,2025-12-04 15:52:27
8035,東京エレクトロン,33680.0,2025-12-04 15:52:27
6857,アドバンテスト,20675.0,2025-12-04 15:52:27
6920,レーザーテック,32130.0,2025-12-04 15:52:28
9984,ソフトバンクグループ,18165.0,2025-12-04 15:52:29
6861,キーエンス,55900.0,2025-12-04 15:52:29
7735,SCREENホールディングス,14025.0,2025-12-04 15:52:30
6367,ダイキン工業,20220.0,2025-12-04 15:52:30
7974,任天堂,12925.0,2025-12-04 15:52:31
6954,ファナック,5942.0,2025-12-04 15:52:31
6501,日立製作所,4975.0,2025-12-04 15:52:32
6723,ルネサスエレクトロニクス,2126.5,2025-12-04 15:52:32
7751,キヤノン,4638.0,2025-12-04 15:52:33
6976,太陽誘電,3866.0,2025-12-04 15:52:33
7203,トヨタ自動車,3101.0,2025-12-04 15:52:34
8031,三井物産,4284.0,2025-12-04 15:52:35
8058,三菱商事,3829.0,2025-12-04 15:52:35
8306,三菱UFJフィナンシャル・グループ,2512.0,2025-12-04 15:52:36
8316,三井住友フィナンシャルグループ,4893.0,2025-12-04 15:52:36
8411,みずほフィナンシャルグループ,5655.0,2025-12-04 15:52:36
8591,オリックス,4346.0,2025-12-04 15:52:37
9101,日本郵船,4913.0,2025-12-04 15:52:38
9104,商船三井,4434.0,2025-12-04 15:52:38
9107,川崎汽船,2090.0,2025-12-04 15:52:39
4063,信越化学工業,4856.0,2025-12-04 15:52:39
4502,武田薬品工業,4471.0,2025-12-04 15:52:40
6762,TDK,2477.0,2025-12-04 15:52:40
2914,日本たばこ産業,5771.0,2025-12-04 15:52:41
7201,日産自動車,377.5,2025-12-04 15:52:41
7267,ホンダ,1549.0,2025-12-04 15:52:42
8105,Bitcoin Japan,306.0,2025-12-04 15:52:42
5016,JX金属,1694.0,2025-12-04 15:52:43
3656,KLab,267.0,2025-12-04 15:52:43
4565,そーせいグループ,821.0,2025-12-04 15:52:44
4582,シンバイオ製薬,100.0,2025-12-04 15:52:44
4592,サンバイオ,1658.0,2025-12-04 15:52:45
4477,BASE,324.0,2025-12-04 15:52:45
4599,ステムリム,255.0,2025-12-04 15:52:46
4167,ココペリ,309.0,2025-12-04 15:52:46
4385,メルカリ,2848.0,2025-12-04 15:52:46
4478,フリー,3005.0,2025-12-04 15:52:47
3903,gumi,378.0,2025-12-04 15:52:47
3911,Aiming,224.0,2025-12-04 15:52:48
3697,SHIFT,966.0,2025-12-04 15:52:49
3624,アクセルマーク,90.0,2025-12-04 15:52:49
7779,サイバーダイン,191.0,2025-12-04 15:52:49
3853,アステリア,1066.0,2025-12-04 15:52:50
3936,グローバルウェイ,133.0,2025-12-04 15:52:50
7359,東京通信,303.0,2025-12-04 15:52:51
4880,セルソース,482.0,2025-12-04 15:52:51
7138,TORICO,148.0,2025-12-04 15:52:51
5250,プライム・ストラテジー,1504.0,2025-12-04 15:52:52
7711,助川電気工業,6860.0,2025-12-04 15:52:53
4424,Amazia,342.0,2025-12-04 15:52:53
6731,ピクセラ,39.0,2025-12-04 15:52:54
7806,MTG,4625.0,2025-12-04 15:52:54
4234,サンエー化研,889.0,2025-12-04 15:52:55
4570,免疫生物研究所,1566.0,2025-12-04 15:52:55
4720,城南進学研究社,274.0,2025-12-04 15:52:56
4446,リンクユーグループ,1182.0,2025-12-04 15:52:56
