銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56640.0,2025-12-03 13:47:35
8035,東京エレクトロン,32930.0,2025-12-03 13:47:35
6857,アドバンテスト,21075.0,2025-12-03 13:47:36
6920,レーザーテック,30170.0,2025-12-03 13:47:36
9984,ソフトバンクグループ,16955.0,2025-12-03 13:47:37
6861,キーエンス,52470.0,2025-12-03 13:47:37
7735,SCREENホールディングス,14045.0,2025-12-03 13:47:37
6367,ダイキン工業,19720.0,2025-12-03 13:47:38
7974,任天堂,12795.0,2025-12-03 13:47:38
6954,ファナック,5270.0,2025-12-03 13:47:39
6501,日立製作所,4921.0,2025-12-03 13:47:39
6723,ルネサスエレクトロニクス,1936.5,2025-12-03 13:47:40
7751,キヤノン,4612.0,2025-12-03 13:47:40
6976,太陽誘電,3719.0,2025-12-03 13:47:41
7203,トヨタ自動車,3011.0,2025-12-03 13:47:41
8031,三井物産,4117.0,2025-12-03 13:47:41
8058,三菱商事,3695.0,2025-12-03 13:47:42
8306,三菱UFJフィナンシャル・グループ,2474.5,2025-12-03 13:47:42
8316,三井住友フィナンシャルグループ,4828.0,2025-12-03 13:47:43
8411,みずほフィナンシャルグループ,5577.0,2025-12-03 13:47:43
8591,オリックス,4238.0,2025-12-03 13:47:44
9101,日本郵船,4847.0,2025-12-03 13:47:44
9104,商船三井,4383.0,2025-12-03 13:47:44
9107,川崎汽船,2053.0,2025-12-03 13:47:45
4063,信越化学工業,4661.0,2025-12-03 13:47:45
4502,武田薬品工業,4436.0,2025-12-03 13:47:46
6762,TDK,2425.5,2025-12-03 13:47:46
2914,日本たばこ産業,5815.0,2025-12-03 13:47:47
7201,日産自動車,364.20001220703125,2025-12-03 13:47:47
7267,ホンダ,1509.0,2025-12-03 13:47:47
8105,Bitcoin Japan,324.0,2025-12-03 13:47:48
5016,JX金属,1669.5,2025-12-03 13:47:48
3656,KLab,251.0,2025-12-03 13:47:49
4565,そーせいグループ,820.0,2025-12-03 13:47:49
4582,シンバイオ製薬,101.0,2025-12-03 13:47:49
4592,サンバイオ,1608.0,2025-12-03 13:47:50
4477,BASE,319.0,2025-12-03 13:47:50
4599,ステムリム,254.0,2025-12-03 13:47:51
4167,ココペリ,311.0,2025-12-03 13:47:51
4385,メルカリ,2749.5,2025-12-03 13:47:51
4478,フリー,3005.0,2025-12-03 13:47:52
3903,gumi,383.0,2025-12-03 13:47:52
3911,Aiming,226.0,2025-12-03 13:47:53
3697,SHIFT,932.2999877929688,2025-12-03 13:47:53
3624,アクセルマーク,89.0,2025-12-03 13:47:53
7779,サイバーダイン,181.0,2025-12-03 13:47:54
3853,アステリア,1089.0,2025-12-03 13:47:54
3936,グローバルウェイ,133.0,2025-12-03 13:47:55
7359,東京通信,307.0,2025-12-03 13:47:55
4880,セルソース,485.0,2025-12-03 13:47:55
7138,TORICO,153.0,2025-12-03 13:47:56
5250,プライム・ストラテジー,1507.0,2025-12-03 13:47:56
7711,助川電気工業,7080.0,2025-12-03 13:47:57
4424,Amazia,323.0,2025-12-03 13:47:57
6731,ピクセラ,39.0,2025-12-03 13:47:57
7806,MTG,4585.0,2025-12-03 13:47:58
4234,サンエー化研,905.0,2025-12-03 13:47:58
4720,城南進学研究社,276.0,2025-12-03 13:47:59
4446,リンクユーグループ,1332.0,2025-12-03 13:48:00
