銘柄コード,銘柄名,株価,取得時間
9983,ファーストリテイリング,57140.0,2025-11-28 06:51:50
8035,東京エレクトロン,31800.0,2025-11-28 06:51:50
6857,アドバンテスト,20575.0,2025-11-28 06:51:51
6920,レーザーテック,28080.0,2025-11-28 06:51:51
9984,ソフトバンクグループ,16825.0,2025-11-28 06:51:52
6861,キーエンス,53140.0,2025-11-28 06:51:52
7735,SCREENホールディングス,12855.0,2025-11-28 06:51:52
6367,ダイキン工業,20285.0,2025-11-28 06:51:53
7974,任天堂,13280.0,2025-11-28 06:51:53
6954,ファナック,5026.0,2025-11-28 06:51:54
6501,日立製作所,4968.0,2025-11-28 06:51:54
6723,ルネサスエレクトロニクス,1851.5,2025-11-28 06:51:54
7751,キヤノン,4606.0,2025-11-28 06:51:55
6976,太陽誘電,3259.0,2025-11-28 06:51:55
7203,トヨタ自動車,3133.0,2025-11-28 06:51:56
8031,三井物産,4147.0,2025-11-28 06:51:56
8058,三菱商事,3702.0,2025-11-28 06:51:57
8306,三菱UFJフィナンシャル・グループ,2423.5,2025-11-28 06:51:57
8316,三井住友フィナンシャルグループ,4698.0,2025-11-28 06:51:57
8411,みずほフィナンシャルグループ,5473.0,2025-11-28 06:51:58
8591,オリックス,4243.0,2025-11-28 06:51:58
9101,日本郵船,4950.0,2025-11-28 06:51:59
9104,商船三井,4433.0,2025-11-28 06:51:59
9107,川崎汽船,2078.5,2025-11-28 06:51:59
4063,信越化学工業,4702.0,2025-11-28 06:52:00
4502,武田薬品工業,4506.0,2025-11-28 06:52:00
6762,TDK,2559.5,2025-11-28 06:52:01
2914,日本たばこ産業,5867.0,2025-11-28 06:52:01
7201,日産自動車,384.20001220703125,2025-11-28 06:52:02
7267,ホンダ,1572.0,2025-11-28 06:52:02
8105,Bitcoin Japan,394.0,2025-11-28 06:52:03
5016,JX金属,1669.0,2025-11-28 06:52:03
3656,KLab,250.0,2025-11-28 06:52:03
4565,そーせいグループ,887.0,2025-11-28 06:52:04
4582,シンバイオ製薬,107.0,2025-11-28 06:52:04
4592,サンバイオ,2205.0,2025-11-28 06:52:04
4477,BASE,332.0,2025-11-28 06:52:05
4599,ステムリム,280.0,2025-11-28 06:52:05
4167,ココペリ,315.0,2025-11-28 06:52:05
4385,メルカリ,2655.0,2025-11-28 06:52:06
4478,フリー,2998.0,2025-11-28 06:52:06
3903,gumi,428.0,2025-11-28 06:52:06
3911,Aiming,246.0,2025-11-28 06:52:07
3697,SHIFT,968.7999877929688,2025-11-28 06:52:07
3624,アクセルマーク,91.0,2025-11-28 06:52:07
7779,サイバーダイン,171.0,2025-11-28 06:52:08
3853,アステリア,1126.0,2025-11-28 06:52:08
3936,グローバルウェイ,142.0,2025-11-28 06:52:08
7359,東京通信,319.0,2025-11-28 06:52:09
4880,セルソース,517.0,2025-11-28 06:52:09
7138,TORICO,182.0,2025-11-28 06:52:10
5250,プライム・ストラテジー,1535.0,2025-11-28 06:52:10
7711,助川電気工業,7500.0,2025-11-28 06:52:10
4424,Amazia,455.0,2025-11-28 06:52:11
6731,ピクセラ,43.0,2025-11-28 06:52:11
7806,MTG,4535.0,2025-11-28 06:52:11
4234,サンエー化研,814.0,2025-11-28 06:52:12
4570,免疫生物研究所,3120.0,2025-11-28 06:52:12
4720,城南進学研究社,290.0,2025-11-28 06:52:12
4446,リンクユーグループ,1250.0,2025-11-28 06:52:13
