銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,55560.0,2025-12-09 14:44:11
8035,東京エレクトロン,33460.0,2025-12-09 14:44:11
6857,アドバンテスト,20270.0,2025-12-09 14:44:12
6920,レーザーテック,32640.0,2025-12-09 14:44:13
9984,ソフトバンクグループ,18535.0,2025-12-09 14:44:13
6861,キーエンス,54100.0,2025-12-09 14:44:14
7735,SCREENホールディングス,13775.0,2025-12-09 14:44:14
6367,ダイキン工業,19375.0,2025-12-09 14:44:15
7974,任天堂,11920.0,2025-12-09 14:44:15
6954,ファナック,6094.0,2025-12-09 14:44:16
6501,日立製作所,4901.0,2025-12-09 14:44:16
6723,ルネサスエレクトロニクス,2147.0,2025-12-09 14:44:17
7751,キヤノン,4638.0,2025-12-09 14:44:17
6976,太陽誘電,3827.0,2025-12-09 14:44:18
7203,トヨタ自動車,3063.0,2025-12-09 14:44:18
8031,三井物産,4295.0,2025-12-09 14:44:19
8058,三菱商事,3824.0,2025-12-09 14:44:19
8306,三菱UFJフィナンシャル・グループ,2483.5,2025-12-09 14:44:20
8316,三井住友フィナンシャルグループ,4871.0,2025-12-09 14:44:20
8411,みずほフィナンシャルグループ,5643.0,2025-12-09 14:44:21
8591,オリックス,4325.0,2025-12-09 14:44:21
9101,日本郵船,4843.0,2025-12-09 14:44:22
9104,商船三井,4457.0,2025-12-09 14:44:23
9107,川崎汽船,2100.5,2025-12-09 14:44:23
4063,信越化学工業,4781.0,2025-12-09 14:44:24
4502,武田薬品工業,4488.0,2025-12-09 14:44:24
6762,TDK,2395.5,2025-12-09 14:44:25
2914,日本たばこ産業,5801.0,2025-12-09 14:44:25
7201,日産自動車,380.8999938964844,2025-12-09 14:44:26
7267,ホンダ,1519.5,2025-12-09 14:44:26
8105,Bitcoin Japan,277.0,2025-12-09 14:44:27
5016,JX金属,1725.0,2025-12-09 14:44:27
3656,KLab,328.0,2025-12-09 14:44:28
4565,そーせいグループ,863.0,2025-12-09 14:44:28
4582,シンバイオ製薬,100.0,2025-12-09 14:44:29
4592,サンバイオ,1734.0,2025-12-09 14:44:29
4477,BASE,316.0,2025-12-09 14:44:30
4599,ステムリム,256.0,2025-12-09 14:44:30
4167,ココペリ,307.0,2025-12-09 14:44:31
4385,メルカリ,2874.5,2025-12-09 14:44:31
4478,フリー,3115.0,2025-12-09 14:44:32
3903,gumi,371.0,2025-12-09 14:44:32
3911,Aiming,222.0,2025-12-09 14:44:32
3697,SHIFT,934.7999877929688,2025-12-09 14:44:33
3624,アクセルマーク,95.0,2025-12-09 14:44:33
7779,サイバーダイン,192.0,2025-12-09 14:44:34
3853,アステリア,1006.0,2025-12-09 14:44:34
3936,グローバルウェイ,129.0,2025-12-09 14:44:35
7359,東京通信,299.0,2025-12-09 14:44:35
4880,セルソース,481.0,2025-12-09 14:44:36
7138,TORICO,140.0,2025-12-09 14:44:36
5250,プライム・ストラテジー,1491.0,2025-12-09 14:44:37
7711,助川電気工業,6970.0,2025-12-09 14:44:37
4424,Amazia,367.0,2025-12-09 14:44:38
6731,ピクセラ,39.0,2025-12-09 14:44:38
7806,MTG,4880.0,2025-12-09 14:44:38
4234,サンエー化研,861.0,2025-12-09 14:44:39
4570,免疫生物研究所,1729.0,2025-12-09 14:44:39
4720,城南進学研究社,274.0,2025-12-09 14:44:40
4446,リンクユーグループ,1064.0,2025-12-09 14:44:41
