銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,57280.0,2025-12-04 13:24:07
8035,東京エレクトロン,33340.0,2025-12-04 13:24:08
6857,アドバンテスト,20550.0,2025-12-04 13:24:08
6920,レーザーテック,32300.0,2025-12-04 13:24:09
9984,ソフトバンクグループ,18170.0,2025-12-04 13:24:10
6861,キーエンス,55400.0,2025-12-04 13:24:10
7735,SCREENホールディングス,13965.0,2025-12-04 13:24:11
6367,ダイキン工業,20110.0,2025-12-04 13:24:11
7974,任天堂,12855.0,2025-12-04 13:24:12
6954,ファナック,5896.0,2025-12-04 13:24:13
6501,日立製作所,4978.0,2025-12-04 13:24:13
6723,ルネサスエレクトロニクス,2105.0,2025-12-04 13:24:14
7751,キヤノン,4622.0,2025-12-04 13:24:15
6976,太陽誘電,3838.0,2025-12-04 13:24:15
7203,トヨタ自動車,3087.0,2025-12-04 13:24:16
8031,三井物産,4280.0,2025-12-04 13:24:16
8058,三菱商事,3831.0,2025-12-04 13:24:17
8306,三菱UFJフィナンシャル・グループ,2509.5,2025-12-04 13:24:18
8316,三井住友フィナンシャルグループ,4901.0,2025-12-04 13:24:18
8411,みずほフィナンシャルグループ,5652.0,2025-12-04 13:24:19
8591,オリックス,4326.0,2025-12-04 13:24:20
9101,日本郵船,4902.0,2025-12-04 13:24:20
9104,商船三井,4427.0,2025-12-04 13:24:21
9107,川崎汽船,2082.0,2025-12-04 13:24:21
4063,信越化学工業,4827.0,2025-12-04 13:24:22
4502,武田薬品工業,4466.0,2025-12-04 13:24:22
6762,TDK,2469.0,2025-12-04 13:24:23
2914,日本たばこ産業,5764.0,2025-12-04 13:24:23
7201,日産自動車,372.70001220703125,2025-12-04 13:24:24
7267,ホンダ,1544.5,2025-12-04 13:24:25
8105,Bitcoin Japan,309.0,2025-12-04 13:24:25
5016,JX金属,1687.0,2025-12-04 13:24:26
3656,KLab,243.0,2025-12-04 13:24:26
4565,そーせいグループ,821.0,2025-12-04 13:24:27
4582,シンバイオ製薬,100.0,2025-12-04 13:24:27
4592,サンバイオ,1696.0,2025-12-04 13:24:28
4477,BASE,320.0,2025-12-04 13:24:28
4599,ステムリム,255.0,2025-12-04 13:24:29
4167,ココペリ,309.0,2025-12-04 13:24:30
4385,メルカリ,2871.0,2025-12-04 13:24:30
4478,フリー,2996.0,2025-12-04 13:24:30
3903,gumi,376.0,2025-12-04 13:24:31
3911,Aiming,225.0,2025-12-04 13:24:32
3697,SHIFT,963.2000122070312,2025-12-04 13:24:32
3624,アクセルマーク,89.0,2025-12-04 13:24:33
7779,サイバーダイン,194.0,2025-12-04 13:24:33
3853,アステリア,1086.0,2025-12-04 13:24:34
3936,グローバルウェイ,134.0,2025-12-04 13:24:34
7359,東京通信,306.0,2025-12-04 13:24:35
4880,セルソース,481.0,2025-12-04 13:24:36
7138,TORICO,148.0,2025-12-04 13:24:36
5250,プライム・ストラテジー,1511.0,2025-12-04 13:24:37
7711,助川電気工業,6980.0,2025-12-04 13:24:37
4424,Amazia,362.0,2025-12-04 13:24:38
6731,ピクセラ,39.0,2025-12-04 13:24:38
7806,MTG,4610.0,2025-12-04 13:24:39
4234,サンエー化研,878.0,2025-12-04 13:24:40
4570,免疫生物研究所,1876.0,2025-12-04 13:24:40
4720,城南進学研究社,274.0,2025-12-04 13:24:41
4446,リンクユーグループ,1171.0,2025-12-04 13:24:41
